Δ Founding Member	Ethereum Address	Genesis Sentence 🌝	MVT (Movement Token) Balance	Movement Activity	Bitcointalk Rank	Spheres	Vote #00001	Media	Greenpoint	Contributor	Ambassador
Name	Status: Distributed	Connect and Create ～ The Movement DAO. 2017 Sunday August 6.	{(3,000,000 / (557 * Δrank)) * (Δactivity + boni)} Finalized: all founding participants receive a final 55% bonus to reach 2,700,000 MVT	Idler 0.5, Mover 1, Contributor 1.75, Ambassador 2	Newbie 2, Junior 1.75, Member 1.5, Full Member 1, Senior Member 0.9, Hero 0.8, Legendary 0.7 	Decentralized Communities	15th August 2017, Milestone: Consensus Reached 364 Valid Votes => 1731 Max Participants => Genesis Participant Application ends on August 31, 2017.	Forum URL/Sig or Avatar Bonus, Activity +5%	Github Support +5%	Bonus 30%	Bonus 70%
levelten	0x85AFfC26596D43f194E08a1322B94babC055fd8A	The First Genesis PM for The Movement DAO	8348	1	Full Member		#1 Airdrop Closing Date Proposal: 31.9.17 #2 Airdrop Participant Hard Cap Proposal: 3000				
Lipe490	0x00BC2077E8fA2403100c86bAE5b38652e36C29c7	They trying to build a prison, for you and me to live in!	1392	No Vote	Senior Member						
TimeTeller	0xd1bE7b2A693cC11bAdc87C084A8aDfB73d518211	Hope DAO will turn out like MNE's success in the future.	9275	1	Senior Member		#1 Airdrop Closing Date Proposal: 15.08.17 #2 Airdrop Participant Hard Cap Proposal: 500				
sein	0x0A503597bC447ff10e77c1150406F4C4717A1C9e	Good project dev .. good luck n thanks for airdrop	1252	No Vote	Full Member						
AmoreJaz	0x7Ed213e7e6c107550211116F7f698C34e4345E4B	Participating in the Genesis Collection Phase UNSTOPPABLE ORGANIZATION	10957	1	Hero Member		#1 Airdrop Closing Date Proposal: 07.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
tippytoes	0x36791a6a2709455ff6EcD9c7699d490Bf815FBce	Cheers to the road of DAO's success!	8765	1	Full Member	Sphere Name : Crypto Research Community✓ Description : A group that will do the research for the DAO Movement. Anything about crypto. In such a way that if any member has doubts or some sort of query, this group will do the research for this community and will try to find the answer for each and every question thrown to this group.	#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000	✓			
zauna35	0xc6fc6835ce16679c89567c0b33604d1e9a71bf99	For peace in the world! В начале бог создал небо и землю! Дев создал токен и запустил его в массы, дев бог!С началом начал нас и да прибудет с нами сила	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 31.08.17 #2 Airdrop Participant Hard Cap Proposal: 1000				
ucliktea	0x453720068FA251B7909BFFE40337BC87B5b0Ba33	amazing genesis can go up congrats tou you and team	4174	0.5	Full Member		#1 Airdrop Closing Date Proposal: 10-08-2017 #2 Airdrop Participant Hard Cap Proposal: 500 				
skyline_king	0xD921E812e79293C1e037de020375Ad56A7394e96	lets see how well this will work	1392	No Vote	Senior Member						
AndrewBUD	0x8BD37c2b6e820F67A236FA44D958222c87dE5Fcd	I will be back now	1566	No Vote	Hero Member						
gold969	0xFa966fE7C672054BD1A629Ff0b4A5971De2EdCf9	Did not understand anything, but it's very interesting what will come of it, Thank you in advance if you make me rich Grin	1392	No Vote	Senior Member						
Bloodxtz	0xf9f24301713ce954148B62e751127540D817eCcB 	Only two things are infinite — the universe and human stupidity, and I’m not sure about the former	4638	0.5	Senior Member		#1 Airdrop Closing Date Proposal: 08.08.17 #2 Airdrop Participant Hard Cap Proposal: 500				
Caztiel	0x3407cC7cdCd57C45b190E3407A6506B0e4D9d876	Think Big, Act Smart & Make Difference	4383	0.5	Full Member		#1 Airdrop Closing Date Proposal: 07.08.2017 #2 Airdrop Participant Hard Cap Proposal: 250	✓			
nagatraju	0x1fbbD1CEf775efF433faeDA5cF4729EB4F1c8b5F	Looks different and interesting Project	5217	0.5	Hero Member		#1 Airdrop Closing Date Proposal: 10.08.2017 #2 Airdrop Participant Hard Cap Proposal: 2500				
